variable,role,label,labelLong,section,subject,variableType,units,databaseStart,variableStart,description,Transformation,,,,,,,,,,
CCC_131,"intermediate, imputation-variable",Active Cancer,Do you have cancer?,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i","cchs2001_p::CCCA_131, cchs2003_p::CCCC_131, cchs2005_p::CCCE_131, cchs2015_2016_p::CCC_130, cchs2017_2018_p::CCC_130, cchs2015_2016_i::CCC_130, cchs2017_2018_i::CCC_130,[CCC_131]",,,,,,,,,,,,
CCC_131_cat1,intermediate,Dummy active cancervariable: Yes,Dummy active cancervariable: Yes,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i",DerivedVar::[CCC_131],,"dummy[1,2]",,,,,,,,,,
CCC_131_cat1_c,predictor,Centered dummy active cancer variable: Yes,Centered dummy active cancer variable: Yes,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i",DerivedVar::[CCC_131_cat1],,"center[CCC_131_cat1, mean]",,,,,,,,,,
CCC_151,"intermediate, imputation-variable",Stroke,Do you suffer from effects of stroke?,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i","cchs2001_p::CCCA_151, cchs2003_p::CCCC_151, cchs2005_p::CCCE_151, cchs2015_2016_p::CCC_090, cchs2017_2018_p::CCC_090, cchs2015_2016_i::CCC_090, cchs2017_2018_i::CCC_090, [CCC_151]",,,,,,,,,,,,
CCC_151_cat1,intermediate,Dummy stroke variable: Yes,Dummy stroke variable: Yes,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i",DerivedVar::[CCC_151],,"dummy[1,2]",,,,,,,,,,
CCC_151_cat1_c,predictor,Centered dummy stroke variable: Yes,Centered dummy stroke variable: Yes,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i",DerivedVar::[CCC_151_cat1],,"center[CCC_151_cat1, mean]",,,,,,,,,,
CCC_171,imputation-variable,Bowel Disorder,Do you have bowel disorder?,Health status,Chronic condition,Categorical ,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i",,,,,,,,,,,,,
CCC_280,indermediate,Mood disorder,Do you have a mood disorder?,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i","cchs2003_p::CCCC_280, cchs2005_p::CCCE_280, cchs2015_2016_p::CCC_195, cchs2017_2018_p::CCC_195, cchs2015_2016_i::CCC_195, cchs2017_2018_i::CCC_195, [CCC_280]",,,,,,,,,,,,
CCC_280_cat1,intermediate,Dummy mood disordervariable: Yes,Dummy mood disordervariable: Yes,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i",DerivedVar::[CCC_280],,"dummy[1,2]",,,,,,,,,,
CCC_280_cat1_c,predictor,Centered dummy mood disorder variable: Yes,Centered dummy mood disorder variable: Yes,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i",DerivedVar::[CCC_280_cat1],,"center[CCC_280_cat1, mean]",,,,,,,,,,
CCC_290,intermediate,Anxiety Disorder,Do you have an anxiety disorder?,Health status,Chronic condition,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i","cchs2003_p::CCCC_290, cchs2005_p::CCCE_290, cchs2015_2016_p::CCC_200, cchs2017_2018_p::CCC_200, cchs2015_2016_i::CCC_200, cchs2017_2018_i::CCC_200, [CCC_290]",,,,,,,,,,,,
CCC_290_cat1,intermediate,Dummy anxiety disorder variable: Yes,Dummy anxiety disordervariable: Yes,Health status,Chronic condition,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i",DerivedVar::[CCC_290],,"dummy[1,2]",,,,,,,,,,
CCC_290_cat1_c,predictor,Centered dummy anxiety disorder variable: Yes,Centered dummy anxiety disorder variable: Yes,Health status,Chronic condition,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i",DerivedVar::[CCC_290_cat1],,"center[CCC_290_cat1, mean]",,,,,,,,,,
resp_condition,intermediate,Respiratory condition,Respiratory condition,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_m, cchs2010_m, cchs2012_m, cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i","DerivedVar::[DHHGAGE_cont, CCC_091, CCC_031], DerivedVar::[DHHGAGE_cont, CCC_91E, CCC_91F, CCC_91A, CCC_031], DerivedVar::[DHHGAGE_cont, CCC_091, CCC_91A, CCC_031]",,,,,,,,,,,,
DHH_SEX,"intermediate, imputation-variable",Sex,Sex,Demographics,Sex,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i","cchs2001_p::DHHA_SEX, cchs2003_p::DHHC_SEX, cchs2005_p::DHHE_SEX, [DHH_SEX]",,,,,,,,,,,,
DHH_SEX_cat1,intermediate,Dummry sex variable: Male,Dummry sex variable: Male,Demographics,Sex,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i",DerivedVar::[DHH_SEX],,"dummy[1,2]",,,,,,,,,,
DHH_SEX_cat1_c,predictor,Centered dummy sex variable: Male,Centered dummy sex variable: Male,Demographics,Sex,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i",DerivedVar::[DHH_SEX_cat1],,"center[DHH_SEX_cat1, mean]",,,,,,,,,,
DHH_OWN,imputation-variable,Home ownership,Dwelling - owned by a member of hsld,Sociodemographics,Home ownership,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i","cchs2001_p::DHHA_OWN, cchs2003_p::DHHC_OWN, cchs2005_p::DHHE_OWN, [DHH_OWN]",,,,,,,,,,,,
DHHDHSZ,imputation-variable,Household Size,Household Size- number of persons,Sociodemographics,Household Size,Categorical,N/A,"cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i"," cchs2015_2016_i::DHHDVHSZ, cchs2017_2018_i::DHHDVHSZ, [DHHDHSZ]",,,,,,,,,,,,
DHH_MS,"intermediate, table-1-a",Marital status,Marital status - (G),Sociodemographics,Marital Status,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i","cchs2001_p::DHHAGMS, cchs2003_p::DHHCGMS, cchs2005_p::DHHEGMS, cchs2009_s::DHH_iS, cchs2010_s::DHH_iS, cchs2012_s::DHH_MS, [DHH_MS]",,,,,,,,,,,,
DHH_MS_cat2,intermediate,Marital status dummy variable: Common-law,Marital status dummy variable: Common-law,Sociodemographics,Marital Status,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i",DerivedVar::[DHH_MS],,"dummy[2, 1]",,,,,,,,,,
DHH_MS_cat2_C,predictor,Marital status centered dummy variable: Common-law,Marital status centered dummy variable: Common-law,Sociodemographics,Marital Status,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i",DerivedVar::[DHH_MS_cat2],,"center[DHH_MS_cat2, mean]",,,,,,,,,,
DHH_MS_cat3,intermediate,Marital status dummy variable: Widow/sep/div,Marital status dummy variable: Widow/sep/div,Sociodemographics,Marital Status,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i",DerivedVar::[DHH_MS],,"dummy[3, 1]",,,,,,,,,,
DHH_MS_cat3_C,predictor,Marital status centered dummy variable: Widow/sep/div,Marital status centered dummy variable: Widow/sep/div,Sociodemographics,Marital Status,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i",DerivedVar::[DHH_MS_cat3],,"center[DHH_MS_cat3, mean]",,,,,,,,,,
DHH_MS_cat4,intermediate,Marital status dummy variable: Single/Never mar.,Marital status dummy variable: Single/Never mar.,Sociodemographics,Marital Status,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i",DerivedVar::[DHH_MS],,"dummy[4, 1]",,,,,,,,,,
DHH_MS_cat4_C,predictor,Marital status centered dummy variable: Single/Never mar.,Marital status centered dummy variable: Single/Never mar.,Sociodemographics,Marital Status,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i",DerivedVar::[DHH_MS_cat4],,"center[DHH_MS_cat4, mean]",,,,,,,,,,
EDUDR04,intermediate,Highest level education,Highest level/education - 4 categories,Sociodemographics,Education,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s,  cchs_2013_i, cchs_2014_i, cchs_2013_2014_i","cchs2001_p::EDUADR04, cchs2003_p::EDUCDR04, cchs2005_p::EDUEDR04, cchs2015_2016_p::EHG2DVR3, cchs2017_2018_p::EHG2DVR3, [EDUDR04]",,,,,,,,,,,,
EDUDR03,indermediate,Highest level education,Highest level/education - 3 categories,Sociodemographics,Education,Categorical,N/A,"cchs2015_2016_p, cchs2017_2018_p, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i,  cchs_2015_2016_i, cchs_2017_2018_i","cchs2015_2016_p::EHG2DVR3, cchs2017_2018_p::EHG2DVR3, cchs2015_2016_I::EHG2DVR3, cchs2017_2018_I::EHG2DVR3",,,,,,,,,,,,
EDU_1,intermediate,Highest grade completed,What is the highest grade of elementary or high school you ever completed?,Sociodemographics,Education,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s,  cchs_2013_i, cchs_2014_i, cchs_2013_2014_i, cchs2015_2016_p, cchs2017_2018_p, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i,  cchs_2015_2016_i, cchs_2017_2018_i","cchs2015_2016_i::EHG2_01, cchs2017_2018_i::EHG2_01, [EDU_1]",,,,,,,,,,,,
EDU_2,intermediate,Graduated from high school,Did you complete a high school diploma or equivalent?,Sociodemographics,Education,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s,  cchs_2013_i, cchs_2014_i, cchs_2013_2014_i, cchs2015_2016_p, cchs2017_2018_p, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i,  cchs_2015_2016_i, cchs_2017_2018_i","cchs2015_2016_i::EHG2_02, cchs2017_2018_i::EHG2_02, [EDU_2]",,,,,,,,,,,,
EDU_3,intermediate,Any other education,"Any other educaiton that could be counted towards certificate, diploma or degree",Sociodemographics,Education,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s,  cchs_2013_i, cchs_2014_i, cchs_2013_2014_i, cchs2015_2016_p, cchs2017_2018_p, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i,  cchs_2015_2016_i, cchs_2017_2018_i","cchs2015_2016_i::EHG2_03, cchs2017_2018_i::EHG2_03, [EDU_3]",,,,,,,,,,,,
EDU_4A,intermediate,Highest Degree completed ,"What is the highest certificate, diploma or degree that you have completed?",Sociodemographics,Education,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s,  cchs_2013_i, cchs_2014_i, cchs_2013_2014_i, cchs2015_2016_p, cchs2017_2018_p, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i,  cchs_2015_2016_i, cchs_2017_2018_i","cchs2015_2016_i::EHG2_04, cchs2017_2018_i::EHG2_04, [EDU_4A]",,,,,,,,,,,,
EDU_der,"intermediate, imputation-variable, interaction-term",Highest level education,Highest level/education - 3 categories,Sociodemographics,Education,Categorical,N/A,"cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i","DerivedVar::[EDU_1, EDU_2, EDU_3, EDU_4A]",,,,,,,,,,,,
EDU_der_cat1,intermediate,Dummy highest level of education: Less than high school,Dummy highest level of education: Less than high school,Sociodemographics,Education,Categorical,N/A,"cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i",DerivedVar::[EDU_der],,"dummy[1, 4]",,,,,,,,,,
EDU_der_cat2,intermediate,Dummy highest level of education: High school graduate,Dummy highest level of education: High school graduate,Sociodemographics,Education,Categorical,N/A,"cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i",DerivedVar::[EDU_der],,"dummy[2, 4]",,,,,,,,,,
EDU_der_cat3,intermediate,Dummy highest level of education: Some post-secondary education,Dummy highest level of education: Some post-secondary education,Sociodemographics,Education,Categorical,N/A,"cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i",DerivedVar::[EDU_der],,"dummy[3, 4]",,,,,,,,,,
EDU_der_cat1,predictor,Centered dummy highest level of education: Less than high school,Centered dummy highest level of education: Less than high school,Sociodemographics,Education,Categorical,N/A,"cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i",DerivedVar::[EDU_der],,center[EDU_der_cat1],,,,,,,,,,
EDU_der_cat2,predictor,Centered dummy highest level of education: High school graduate,Centered dummy highest level of education: High school graduate,Sociodemographics,Education,Categorical,N/A,"cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i",DerivedVar::[EDU_der],,center[EDU_der_cat2],,,,,,,,,,
EDU_der_cat3,predictor,Centered dummy highest level of education: Some post-secondary education,Centered dummy highest level of education: Some post-secondary education,Sociodemographics,Education,Categorical,N/A,"cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i",DerivedVar::[EDU_der],,center[EDU_der_cat3],,,,,,,,,,
deprivation_der,intermediate,Neighbourhood deprivation,Neighbourhood deprivation,Sociodemographics,Neighbourhood deprivation,Categorical,N/A,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m",DerivedVar::[material_resources_q_da],,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
deprivation_der_cat2,intermediate,"Dummy neighbourhood deprivation, moderate","Dummy neighbourhood deprivation, moderate",Sociodemographics,Neighbourhood deprivation,Categorical,N/A,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m",DerivedVar::[deprivation_der],,"dummy[2, 1]",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
deprivation_der_cat2_C,"predictor, table_1a, imputation-variable","Centered dummy neighbourhood deprivation, moderate","Centered dummy neighbourhood deprivation, moderate",Sociodemographics,Neighbourhood deprivation,Categorical,N/A,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m",DerivedVar::[deprivation_der_cat2],,"center[deprivation_der_cat2, mean]",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
deprivation_der_cat3,intermediate,"Dummy neighbourhood deprivation, high","Dummy neighbourhood deprivation, high",Sociodemographics,Neighbourhood deprivation,Categorical,N/A,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m",DerivedVar::[deprivation_der],,"dummy[3, 1]",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
deprivation_der_cat2_C,"predictor, table_1a, imputation-variable","Centered dummy neighbourhood deprivation, high","Centered dummy neighbourhood deprivation, high",Sociodemographics,Neighbourhood deprivation,Categorical,N/A,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m",DerivedVar::[deprivation_der_cat3],,"center[n_depriv_cat3, mean]",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FSCDHFS2,intermediate,HC food security,Household food security status - (HC),Sociodemographics,Food security,Categorical,N/A,"cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014_i, cchs2017_2018_i","cchs2015_2016_p::FSCDVHFS, cchs2017_2018_p::FSCDVHFS, cchs2017_2018_i::FSCDVHFS [FSCDHFS2]",,,,,,,,,,,,
